Seed,Method,Views,Top-1 Acc,Top-3 Acc,Top-1 Correct,Top-3 Correct,Test Images
42,dinov2_vits14 + augmentation prototypes,10,95.02%,99.50%,191,200,201
42,dinov2_vits14 + augmentation prototypes,30,96.52%,100.00%,194,201,201
42,Frozen dinov2_vits14 + cosine similarity,,94.53%,98.51%,190,198,201
42,Frozen ResNet50 + cosine similarity,,98.01%,99.50%,197,200,201
42,ResNet50 fine-tuning baseline,,87.56%,97.01%,176,195,201
43,dinov2_vits14 + augmentation prototypes,10,95.02%,99.00%,191,199,201
43,dinov2_vits14 + augmentation prototypes,30,96.52%,99.50%,194,200,201
43,Frozen dinov2_vits14 + cosine similarity,,94.53%,98.51%,190,198,201
43,Frozen ResNet50 + cosine similarity,,98.01%,99.50%,197,200,201
43,ResNet50 fine-tuning baseline,,87.56%,97.01%,176,195,201
44,dinov2_vits14 + augmentation prototypes,10,92.04%,98.51%,185,198,201
44,dinov2_vits14 + augmentation prototypes,30,96.52%,99.50%,194,200,201
44,Frozen dinov2_vits14 + cosine similarity,,94.53%,98.51%,190,198,201
44,Frozen ResNet50 + cosine similarity,,98.01%,99.50%,197,200,201
44,ResNet50 fine-tuning baseline,,87.56%,97.01%,176,195,201
45,dinov2_vits14 + augmentation prototypes,10,94.03%,99.00%,189,199,201
45,dinov2_vits14 + augmentation prototypes,30,95.52%,99.50%,192,200,201
45,Frozen dinov2_vits14 + cosine similarity,,94.53%,98.51%,190,198,201
45,Frozen ResNet50 + cosine similarity,,98.01%,99.50%,197,200,201
45,ResNet50 fine-tuning baseline,,87.56%,97.01%,176,195,201
46,dinov2_vits14 + augmentation prototypes,10,95.02%,100.00%,191,201,201
46,dinov2_vits14 + augmentation prototypes,30,96.02%,100.00%,193,201,201
46,Frozen dinov2_vits14 + cosine similarity,,94.53%,98.51%,190,198,201
46,Frozen ResNet50 + cosine similarity,,98.01%,99.50%,197,200,201
46,ResNet50 fine-tuning baseline,,87.56%,97.01%,176,195,201
