Method,Perturbation,Severity,Real source images,Synthetic variants,Top-1 Acc,Top-1 95% CI,Top-3 Acc,Top-3 95% CI
Frozen ResNet50 + cosine similarity,brightness,mild,201,201,98.01%,"[96.02%, 99.50%]",99.50%,"[98.51%, 100.00%]"
Frozen ResNet50 + cosine similarity,brightness,moderate,201,201,97.01%,"[94.53%, 99.00%]",99.00%,"[97.51%, 100.00%]"
Frozen ResNet50 + cosine similarity,brightness,severe,201,201,92.04%,"[88.06%, 95.52%]",98.51%,"[96.52%, 100.00%]"
Frozen ResNet50 + cosine similarity,color_jitter,mild,201,201,97.51%,"[95.02%, 99.50%]",99.50%,"[98.51%, 100.00%]"
Frozen ResNet50 + cosine similarity,color_jitter,moderate,201,201,96.02%,"[93.03%, 98.51%]",98.51%,"[96.52%, 100.00%]"
Frozen ResNet50 + cosine similarity,color_jitter,severe,201,201,88.56%,"[84.08%, 92.55%]",95.52%,"[92.54%, 98.01%]"
Frozen ResNet50 + cosine similarity,contrast,mild,201,201,97.51%,"[95.02%, 99.50%]",99.00%,"[97.51%, 100.00%]"
Frozen ResNet50 + cosine similarity,contrast,moderate,201,201,95.52%,"[92.54%, 98.51%]",99.00%,"[97.51%, 100.00%]"
Frozen ResNet50 + cosine similarity,contrast,severe,201,201,91.54%,"[87.56%, 95.02%]",97.51%,"[95.02%, 99.50%]"
Frozen ResNet50 + cosine similarity,crop_scale,mild,201,201,98.01%,"[96.02%, 99.50%]",99.00%,"[97.51%, 100.00%]"
Frozen ResNet50 + cosine similarity,crop_scale,moderate,201,201,97.51%,"[95.02%, 99.50%]",99.00%,"[97.51%, 100.00%]"
Frozen ResNet50 + cosine similarity,crop_scale,severe,201,201,97.01%,"[94.53%, 99.00%]",99.50%,"[98.51%, 100.00%]"
Frozen ResNet50 + cosine similarity,gaussian_blur,mild,201,201,96.52%,"[94.03%, 99.00%]",99.50%,"[98.51%, 100.00%]"
Frozen ResNet50 + cosine similarity,gaussian_blur,moderate,201,201,92.04%,"[88.06%, 95.52%]",98.01%,"[96.02%, 99.50%]"
Frozen ResNet50 + cosine similarity,gaussian_blur,severe,201,201,83.58%,"[78.11%, 88.56%]",93.03%,"[89.05%, 96.03%]"
Frozen ResNet50 + cosine similarity,gaussian_noise,mild,201,201,97.01%,"[94.53%, 99.00%]",99.50%,"[98.51%, 100.00%]"
Frozen ResNet50 + cosine similarity,gaussian_noise,moderate,201,201,89.55%,"[85.07%, 93.53%]",95.52%,"[92.54%, 98.01%]"
Frozen ResNet50 + cosine similarity,gaussian_noise,severe,201,201,76.62%,"[70.65%, 82.59%]",87.06%,"[82.09%, 91.54%]"
Frozen ResNet50 + cosine similarity,jpeg_compression,mild,201,201,97.01%,"[94.53%, 99.00%]",98.51%,"[96.52%, 100.00%]"
Frozen ResNet50 + cosine similarity,jpeg_compression,moderate,201,201,90.05%,"[85.57%, 94.03%]",96.02%,"[93.03%, 98.51%]"
Frozen ResNet50 + cosine similarity,jpeg_compression,severe,201,201,78.61%,"[72.64%, 84.08%]",88.06%,"[83.08%, 92.54%]"
Frozen ResNet50 + cosine similarity,rotation,mild,201,201,98.01%,"[96.02%, 99.50%]",99.50%,"[98.51%, 100.00%]"
Frozen ResNet50 + cosine similarity,rotation,moderate,201,201,97.51%,"[95.02%, 99.50%]",99.00%,"[97.51%, 100.00%]"
Frozen ResNet50 + cosine similarity,rotation,severe,201,201,95.52%,"[92.54%, 98.01%]",99.00%,"[97.51%, 100.00%]"
Frozen dinov2_vits14 + cosine similarity,brightness,mild,201,201,95.52%,"[92.54%, 98.01%]",99.50%,"[98.51%, 100.00%]"
Frozen dinov2_vits14 + cosine similarity,brightness,moderate,201,201,93.53%,"[90.05%, 97.01%]",99.50%,"[98.51%, 100.00%]"
Frozen dinov2_vits14 + cosine similarity,brightness,severe,201,201,90.05%,"[85.57%, 94.03%]",97.51%,"[95.02%, 99.50%]"
Frozen dinov2_vits14 + cosine similarity,color_jitter,mild,201,201,94.53%,"[91.04%, 97.51%]",99.00%,"[97.51%, 100.00%]"
Frozen dinov2_vits14 + cosine similarity,color_jitter,moderate,201,201,93.53%,"[90.05%, 96.52%]",98.51%,"[96.52%, 100.00%]"
Frozen dinov2_vits14 + cosine similarity,color_jitter,severe,201,201,90.05%,"[85.57%, 94.03%]",98.01%,"[96.02%, 99.50%]"
Frozen dinov2_vits14 + cosine similarity,contrast,mild,201,201,95.02%,"[92.04%, 98.01%]",98.51%,"[96.52%, 100.00%]"
