ablation,setting,seed,views,augmentation,metric,lbp_weight,top1,top3,correct
views,views=1,42,1,crop_flip_color,cosine,,65.52%,77.83%,133/203
views,views=5,42,5,crop_flip_color,cosine,,67.00%,83.74%,136/203
views,views=10,42,10,crop_flip_color,cosine,,67.00%,84.24%,136/203
views,views=20,42,20,crop_flip_color,cosine,,67.49%,85.22%,137/203
views,views=30,42,30,crop_flip_color,cosine,,67.49%,83.74%,137/203
views,views=50,42,50,crop_flip_color,cosine,,67.98%,84.73%,138/203
aug,center,42,10,center,cosine,,58.13%,74.38%,118/203
aug,crop,42,10,crop,cosine,,65.02%,82.76%,132/203
aug,flip,42,10,flip,cosine,,60.10%,79.31%,122/203
aug,color_jitter,42,10,color_jitter,cosine,,59.11%,74.88%,120/203
aug,crop_flip,42,10,crop_flip,cosine,,67.49%,84.24%,137/203
aug,crop_flip_color,42,10,crop_flip_color,cosine,,68.47%,84.73%,139/203
metric,cosine,42,30,crop_flip_color,cosine,,70.44%,84.24%,143/203
metric,euclidean,42,30,crop_flip_color,euclidean,,70.44%,84.24%,143/203
metric,mahalanobis,42,30,crop_flip_color,mahalanobis,,73.40%,84.73%,149/203
lbp,w=0.0,deterministic,1,center,cosine,0.0,58.13%,74.38%,118/203
lbp,w=0.1,deterministic,1,center,cosine,0.1,60.10%,75.86%,122/203
lbp,w=0.2,deterministic,1,center,cosine,0.2,59.61%,76.35%,121/203
lbp,w=0.3,deterministic,1,center,cosine,0.3,59.11%,76.35%,120/203
lbp,w=0.4,deterministic,1,center,cosine,0.4,60.10%,75.37%,122/203
lbp,w=0.5,deterministic,1,center,cosine,0.5,59.61%,74.38%,121/203
lbp,w=0.6,deterministic,1,center,cosine,0.6,57.64%,76.35%,117/203
lbp,w=0.7,deterministic,1,center,cosine,0.7,55.17%,74.88%,112/203
lbp,w=0.8,deterministic,1,center,cosine,0.8,51.72%,72.91%,105/203
lbp,w=0.9,deterministic,1,center,cosine,0.9,38.92%,63.55%,79/203
lbp,w=1.0,deterministic,1,center,cosine,1.0,12.32%,20.69%,25/203
