Model,Point type,Class,X,Y,Top-1 correct,Top-1 prediction,Image path
Frozen ResNet50,reference,Leather_01,0.50063074,0.24034172,,,
Frozen ResNet50,reference,Leather_02,0.52590871,0.22421415,,,
Frozen ResNet50,reference,Leather_03,0.51584339,0.19569287,,,
Frozen ResNet50,reference,Leather_04,0.34485102,-0.29835129,,,
Frozen ResNet50,reference,Leather_05,0.42673025,0.00537191,,,
Frozen ResNet50,reference,Leather_06,0.26862586,-0.13769902,,,
Frozen ResNet50,reference,Leather_07,0.44848752,0.19550800,,,
Frozen ResNet50,reference,Leather_08,0.50693178,-0.09431749,,,
Frozen ResNet50,reference,Leather_09,0.32757252,-0.04854926,,,
Frozen ResNet50,reference,Leather_10,0.29965961,0.03484578,,,
Frozen ResNet50,reference,Leather_100,-0.18635637,0.12326829,,,
Frozen ResNet50,reference,Leather_101,-0.05388921,-0.03194572,,,
Frozen ResNet50,reference,Leather_102,-0.16716366,-0.17953515,,,
Frozen ResNet50,reference,Leather_103,-0.30198643,-0.07533956,,,
Frozen ResNet50,reference,Leather_104,-0.28600547,-0.27025023,,,
Frozen ResNet50,reference,Leather_105,-0.27089930,-0.18587741,,,
Frozen ResNet50,reference,Leather_106,-0.22094484,-0.05194991,,,
Frozen ResNet50,reference,Leather_107,-0.08087747,-0.11864303,,,
Frozen ResNet50,reference,Leather_108,-0.17453840,-0.16436756,,,
Frozen ResNet50,reference,Leather_109,-0.29147899,-0.07035191,,,
Frozen ResNet50,reference,Leather_11,0.60015285,0.01638930,,,
Frozen ResNet50,reference,Leather_110,-0.36772072,0.00178202,,,
Frozen ResNet50,reference,Leather_111,-0.19076510,-0.05550600,,,
Frozen ResNet50,reference,Leather_112,-0.40794799,0.27168214,,,
Frozen ResNet50,reference,Leather_113,-0.38183829,0.28222939,,,
Frozen ResNet50,reference,Leather_114,-0.42953968,0.18955158,,,
Frozen ResNet50,reference,Leather_115,-0.38197455,0.13153970,,,
Frozen ResNet50,reference,Leather_116,-0.31674716,0.06412820,,,
Frozen ResNet50,reference,Leather_117,-0.24074551,-0.32985443,,,
Frozen ResNet50,reference,Leather_118,-0.27728224,-0.40044770,,,
Frozen ResNet50,reference,Leather_119,0.30888018,-0.10940802,,,
Frozen ResNet50,reference,Leather_12,0.47815090,0.14822005,,,
Frozen ResNet50,reference,Leather_120,-0.25065365,-0.18898651,,,
Frozen ResNet50,reference,Leather_121,-0.21878894,-0.27509147,,,
Frozen ResNet50,reference,Leather_122,-0.20547086,-0.32593277,,,
Frozen ResNet50,reference,Leather_123,0.00610593,-0.29727471,,,
Frozen ResNet50,reference,Leather_124,-0.22428524,-0.44415277,,,
Frozen ResNet50,reference,Leather_125,-0.20542386,0.42642808,,,
Frozen ResNet50,reference,Leather_126,-0.26515472,0.44760877,,,
Frozen ResNet50,reference,Leather_127,-0.25988865,0.50803053,,,
Frozen ResNet50,reference,Leather_128,-0.29284295,0.47162580,,,
Frozen ResNet50,reference,Leather_129,-0.29909223,0.44697475,,,
Frozen ResNet50,reference,Leather_13,0.39832240,0.13358320,,,
Frozen ResNet50,reference,Leather_130,-0.20675576,0.46460688,,,
Frozen ResNet50,reference,Leather_131,-0.21060698,0.38414529,,,
Frozen ResNet50,reference,Leather_132,-0.15986088,0.22279820,,,
Frozen ResNet50,reference,Leather_133,-0.35886499,0.47594830,,,
Frozen ResNet50,reference,Leather_134,-0.16038288,0.43771243,,,
Frozen ResNet50,reference,Leather_135,-0.13546647,0.34722137,,,
Frozen ResNet50,reference,Leather_136,-0.31354183,0.39248109,,,
Frozen ResNet50,reference,Leather_137,-0.26424444,0.38624299,,,
Frozen ResNet50,reference,Leather_138,-0.22666594,0.15490162,,,
Frozen ResNet50,reference,Leather_139,-0.33310157,0.09848795,,,
Frozen ResNet50,reference,Leather_14,0.47548923,0.16328833,,,
Frozen ResNet50,reference,Leather_140,-0.20196196,0.01966309,,,
Frozen ResNet50,reference,Leather_141,-0.32536614,0.47974008,,,
Frozen ResNet50,reference,Leather_142,-0.20760918,0.13872296,,,
Frozen ResNet50,reference,Leather_143,-0.32823354,0.45903215,,,
Frozen ResNet50,reference,Leather_144,-0.21125713,-0.40663898,,,
Frozen ResNet50,reference,Leather_145,-0.13491271,-0.39948642,,,
Frozen ResNet50,reference,Leather_146,-0.21852425,-0.45292270,,,
Frozen ResNet50,reference,Leather_147,-0.39169085,-0.36367226,,,
Frozen ResNet50,reference,Leather_148,0.08651437,-0.25757697,,,
Frozen ResNet50,reference,Leather_149,0.06155437,-0.03376786,,,
Frozen ResNet50,reference,Leather_15,0.47554508,-0.01403658,,,
Frozen ResNet50,reference,Leather_150,-0.35989481,-0.21411516,,,
Frozen ResNet50,reference,Leather_151,0.22829556,-0.09937356,,,
Frozen ResNet50,reference,Leather_152,0.50684464,-0.06324889,,,
Frozen ResNet50,reference,Leather_153,0.34003893,0.08402040,,,
Frozen ResNet50,reference,Leather_154,0.44980085,0.03644905,,,
Frozen ResNet50,reference,Leather_155,0.07510349,0.13028964,,,
Frozen ResNet50,reference,Leather_156,0.11779225,-0.10160417,,,
Frozen ResNet50,reference,Leather_157,0.31456608,0.06375193,,,
Frozen ResNet50,reference,Leather_158,0.19997735,0.11036825,,,
Frozen ResNet50,reference,Leather_159,0.38556090,-0.20502707,,,
Frozen ResNet50,reference,Leather_16,0.28870925,0.12270989,,,
Frozen ResNet50,reference,Leather_160,0.52073991,-0.09121172,,,
Frozen ResNet50,reference,Leather_161,0.62536812,0.16688833,,,
Frozen ResNet50,reference,Leather_162,0.30623478,0.22284763,,,
Frozen ResNet50,reference,Leather_163,0.34960923,0.03009956,,,
Frozen ResNet50,reference,Leather_164,0.58157945,0.13335279,,,
Frozen ResNet50,reference,Leather_165,0.45733756,0.21632817,,,
Frozen ResNet50,reference,Leather_166,0.45115083,0.01567477,,,
Frozen ResNet50,reference,Leather_167,0.43750280,-0.10985930,,,
Frozen ResNet50,reference,Leather_168,0.40021652,0.21251385,,,
Frozen ResNet50,reference,Leather_169,0.23996259,-0.06113958,,,
Frozen ResNet50,reference,Leather_17,0.56284916,-0.01962268,,,
Frozen ResNet50,reference,Leather_170,0.35683221,-0.05215708,,,
Frozen ResNet50,reference,Leather_171,-0.01182627,0.13580646,,,
Frozen ResNet50,reference,Leather_172,0.20784560,0.19879191,,,
Frozen ResNet50,reference,Leather_173,0.47696137,0.18100201,,,
Frozen ResNet50,reference,Leather_174,0.31440377,-0.10504411,,,
Frozen ResNet50,reference,Leather_175,0.48658806,-0.16157818,,,
Frozen ResNet50,reference,Leather_176,0.31190264,0.03323270,,,
Frozen ResNet50,reference,Leather_177,0.36102182,-0.11700909,,,
Frozen ResNet50,reference,Leather_178,0.18541661,-0.25552490,,,
Frozen ResNet50,reference,Leather_179,0.32719517,-0.19264512,,,
Frozen ResNet50,reference,Leather_18,0.26768938,0.10645023,,,
Frozen ResNet50,reference,Leather_180,0.36100280,0.11132655,,,
Frozen ResNet50,reference,Leather_181,0.46864408,-0.07455379,,,
Frozen ResNet50,reference,Leather_182,0.16310877,0.26276645,,,
Frozen ResNet50,reference,Leather_183,0.39471009,-0.08996329,,,
Frozen ResNet50,reference,Leather_184,0.31130522,-0.21135944,,,
Frozen ResNet50,reference,Leather_185,0.13206121,-0.16138819,,,
Frozen ResNet50,reference,Leather_186,0.45502838,0.06398557,,,
Frozen ResNet50,reference,Leather_187,0.46501160,0.18801677,,,
