Class,Outcome group,ResNet50 top1,DINOv2-S top1,ResNet50 top1 correct,DINOv2-S top1 correct,ResNet50 margin,DINOv2-S margin,ResNet50 top3,DINOv2-S top3,Image path
Leather_01,both_correct,Leather_01,Leather_01,True,True,0.109309,0.089999,Leather_01|Leather_161|Leather_14,Leather_01|Leather_02|Leather_200,my_dataset_test_filtered\Leather_01\1750406379284.jpg
Leather_02,both_correct,Leather_02,Leather_02,True,True,0.165996,0.063195,Leather_02|Leather_173|Leather_200,Leather_02|Leather_01|Leather_26,my_dataset_test_filtered\Leather_02\1750406835550.jpg
Leather_03,both_correct,Leather_03,Leather_03,True,True,0.176258,0.015034,Leather_03|Leather_161|Leather_26,Leather_03|Leather_165|Leather_173,my_dataset_test_filtered\Leather_03\1750406941972.jpg
Leather_04,resnet_only_correct,Leather_04,Leather_189,True,False,0.071088,0.003946,Leather_04|Leather_189|Leather_159,Leather_189|Leather_04|Leather_188,my_dataset_test_filtered\Leather_04\1750407130699.jpg
Leather_05,resnet_only_correct,Leather_05,Leather_08,True,False,0.109365,0.033018,Leather_05|Leather_11|Leather_12,Leather_08|Leather_05|Leather_159,my_dataset_test_filtered\Leather_05\1750407204184.jpg
Leather_06,both_correct,Leather_06,Leather_06,True,True,0.079557,0.088786,Leather_06|Leather_167|Leather_152,Leather_06|Leather_170|Leather_175,my_dataset_test_filtered\Leather_06\1750407348067.jpg
Leather_07,both_correct,Leather_07,Leather_07,True,True,0.128317,0.046641,Leather_07|Leather_14|Leather_02,Leather_07|Leather_164|Leather_166,my_dataset_test_filtered\Leather_07\1750407528243.jpg
Leather_08,both_correct,Leather_08,Leather_08,True,True,0.135766,0.162685,Leather_08|Leather_175|Leather_189,Leather_08|Leather_188|Leather_167,my_dataset_test_filtered\Leather_08\1750407629336.jpg
Leather_09,both_correct,Leather_09,Leather_09,True,True,0.237123,0.180766,Leather_09|Leather_27|Leather_148,Leather_09|Leather_19|Leather_172,my_dataset_test_filtered\Leather_09\1750407738276.jpg
Leather_10,both_correct,Leather_10,Leather_10,True,True,0.231005,0.072309,Leather_10|Leather_16|Leather_153,Leather_10|Leather_16|Leather_175,my_dataset_test_filtered\Leather_10\1750408020242.jpg
Leather_100,both_correct,Leather_100,Leather_100,True,True,0.310776,0.353361,Leather_100|Leather_109|Leather_42,Leather_100|Leather_106|Leather_64,my_dataset_test_filtered\Leather_100\1750488394024.jpg
Leather_101,both_correct,Leather_101,Leather_101,True,True,0.208208,0.221976,Leather_101|Leather_89|Leather_91,Leather_101|Leather_89|Leather_103,my_dataset_test_filtered\Leather_101\1750488471484.jpg
Leather_102,both_correct,Leather_102,Leather_102,True,True,0.203100,0.129452,Leather_102|Leather_106|Leather_88,Leather_102|Leather_103|Leather_114,my_dataset_test_filtered\Leather_102\1750488520146.jpg
Leather_103,both_correct,Leather_103,Leather_103,True,True,0.246621,0.245893,Leather_103|Leather_102|Leather_111,Leather_103|Leather_102|Leather_88,my_dataset_test_filtered\Leather_103\1750488677028.jpg
Leather_104,both_correct,Leather_104,Leather_104,True,True,0.144029,0.140786,Leather_104|Leather_105|Leather_117,Leather_104|Leather_105|Leather_117,my_dataset_test_filtered\Leather_104\1750488725312.jpg
Leather_105,both_correct,Leather_105,Leather_105,True,True,0.039873,0.118091,Leather_105|Leather_104|Leather_82,Leather_105|Leather_104|Leather_117,my_dataset_test_filtered\Leather_105\1750488787557.jpg
Leather_106,both_correct,Leather_106,Leather_106,True,True,0.186850,0.162425,Leather_106|Leather_88|Leather_30,Leather_106|Leather_30|Leather_64,my_dataset_test_filtered\Leather_106\1750488902223.jpg
Leather_107,both_correct,Leather_107,Leather_107,True,True,0.044042,0.240661,Leather_107|Leather_78|Leather_68,Leather_107|Leather_121|Leather_93,my_dataset_test_filtered\Leather_107\1750488972633.jpg
Leather_108,resnet_only_correct,Leather_108,Leather_89,True,False,0.105660,0.028438,Leather_108|Leather_106|Leather_107,Leather_89|Leather_177|Leather_32,my_dataset_test_filtered\Leather_108\1750489023876.jpg
Leather_109,both_correct,Leather_109,Leather_109,True,True,0.210319,0.138058,Leather_109|Leather_95|Leather_111,Leather_109|Leather_111|Leather_150,my_dataset_test_filtered\Leather_109\1750489124023.jpg
Leather_11,both_correct,Leather_11,Leather_11,True,True,0.079190,0.008605,Leather_11|Leather_164|Leather_152,Leather_11|Leather_12|Leather_08,my_dataset_test_filtered\Leather_11\1750408197526.jpg
Leather_110,both_correct,Leather_110,Leather_110,True,True,0.371081,0.204632,Leather_110|Leather_111|Leather_96,Leather_110|Leather_87|Leather_113,my_dataset_test_filtered\Leather_110\1750489176801.jpg
Leather_111,both_correct,Leather_111,Leather_111,True,True,0.118823,0.202211,Leather_111|Leather_109|Leather_96,Leather_111|Leather_109|Leather_105,my_dataset_test_filtered\Leather_111\1750489227871.jpg
Leather_112,both_correct,Leather_112,Leather_112,True,True,0.106416,0.084177,Leather_112|Leather_113|Leather_115,Leather_112|Leather_113|Leather_114,my_dataset_test_filtered\Leather_112\1750489281422.jpg
Leather_113,both_correct,Leather_113,Leather_113,True,True,0.007770,0.097509,Leather_113|Leather_112|Leather_115,Leather_113|Leather_112|Leather_114,my_dataset_test_filtered\Leather_113\1750489326154.jpg
Leather_114,both_correct,Leather_114,Leather_114,True,True,0.072504,0.096744,Leather_114|Leather_112|Leather_113,Leather_114|Leather_112|Leather_113,my_dataset_test_filtered\Leather_114\1750489373490.jpg
Leather_115,both_correct,Leather_115,Leather_115,True,True,0.148999,0.107685,Leather_115|Leather_112|Leather_114,Leather_115|Leather_112|Leather_113,my_dataset_test_filtered\Leather_115\1750489423499.jpg
Leather_116,both_correct,Leather_116,Leather_116,True,True,0.196560,0.061295,Leather_116|Leather_93|Leather_102,Leather_116|Leather_93|Leather_190,my_dataset_test_filtered\Leather_116\1750489535803.jpg
Leather_117,both_correct,Leather_117,Leather_117,True,True,0.123049,0.149822,Leather_117|Leather_146|Leather_104,Leather_117|Leather_82|Leather_105,my_dataset_test_filtered\Leather_117\1750489573511.jpg
Leather_118,both_correct,Leather_118,Leather_118,True,True,0.114306,0.059810,Leather_118|Leather_68|Leather_81,Leather_118|Leather_68|Leather_78,my_dataset_test_filtered\Leather_118\1750489685912.jpg
Leather_119,both_correct,Leather_119,Leather_119,True,True,0.169663,0.071277,Leather_119|Leather_185|Leather_193,Leather_119|Leather_124|Leather_159,my_dataset_test_filtered\Leather_119\1750489770436.jpg
Leather_12,both_correct,Leather_12,Leather_12,True,True,0.141467,0.081267,Leather_12|Leather_154|Leather_05,Leather_12|Leather_154|Leather_160,my_dataset_test_filtered\Leather_12\1750408284854.jpg
Leather_120,both_correct,Leather_120,Leather_120,True,True,0.121957,0.002750,Leather_120|Leather_78|Leather_147,Leather_120|Leather_78|Leather_75,my_dataset_test_filtered\Leather_120\1750489841717.jpg
Leather_121,both_correct,Leather_121,Leather_121,True,True,0.164693,0.190075,Leather_121|Leather_118|Leather_117,Leather_121|Leather_117|Leather_75,my_dataset_test_filtered\Leather_121\1750489889943.jpg
Leather_122,both_correct,Leather_122,Leather_122,True,True,0.078327,0.078369,Leather_122|Leather_67|Leather_144,Leather_122|Leather_67|Leather_148,my_dataset_test_filtered\Leather_122\1750489935897.jpg
Leather_123,both_correct,Leather_123,Leather_123,True,True,0.160151,0.096057,Leather_123|Leather_76|Leather_67,Leather_123|Leather_69|Leather_148,my_dataset_test_filtered\Leather_123\1750489979959.jpg
Leather_124,both_correct,Leather_124,Leather_124,True,True,0.068287,0.131480,Leather_124|Leather_84|Leather_73,Leather_124|Leather_193|Leather_123,my_dataset_test_filtered\Leather_124\1750490024511.jpg
Leather_125,both_correct,Leather_125,Leather_125,True,True,0.265112,0.178342,Leather_125|Leather_129|Leather_126,Leather_125|Leather_128|Leather_134,my_dataset_test_filtered\Leather_125\1750490073084.jpg
Leather_126,both_correct,Leather_126,Leather_126,True,True,0.194246,0.012284,Leather_126|Leather_137|Leather_129,Leather_126|Leather_137|Leather_133,my_dataset_test_filtered\Leather_126\1750490108402.jpg
Leather_127,both_correct,Leather_127,Leather_127,True,True,0.444096,0.292765,Leather_127|Leather_133|Leather_136,Leather_127|Leather_133|Leather_137,my_dataset_test_filtered\Leather_127\1750490173529.jpg
Leather_128,both_correct,Leather_128,Leather_128,True,True,0.188563,0.208508,Leather_128|Leather_133|Leather_137,Leather_128|Leather_125|Leather_138,my_dataset_test_filtered\Leather_128\1750490238549.jpg
Leather_129,both_correct,Leather_129,Leather_129,True,True,0.198210,0.265169,Leather_129|Leather_126|Leather_137,Leather_129|Leather_132|Leather_137,my_dataset_test_filtered\Leather_129\1750490315532.jpg
Leather_13,both_correct,Leather_13,Leather_13,True,True,0.095565,0.048383,Leather_13|Leather_194|Leather_173,Leather_13|Leather_165|Leather_173,my_dataset_test_filtered\Leather_13\1750408366776.jpg
Leather_130,both_correct,Leather_130,Leather_130,True,True,0.182703,0.212716,Leather_130|Leather_137|Leather_128,Leather_130|Leather_137|Leather_126,my_dataset_test_filtered\Leather_130\1750490367912.jpg
Leather_131,both_correct,Leather_131,Leather_131,True,True,0.382596,0.366479,Leather_131|Leather_133|Leather_138,Leather_131|Leather_137|Leather_34,my_dataset_test_filtered\Leather_131\1750490579280.jpg
Leather_132,both_correct,Leather_132,Leather_132,True,True,0.352362,0.314287,Leather_132|Leather_111|Leather_35,Leather_132|Leather_138|Leather_129,my_dataset_test_filtered\Leather_132\1750490644319.jpg
Leather_133,both_correct,Leather_133,Leather_133,True,True,0.228620,0.201650,Leather_133|Leather_21|Leather_128,Leather_133|Leather_141|Leather_137,my_dataset_test_filtered\Leather_133\1750490775257.jpg
Leather_134,both_correct,Leather_134,Leather_134,True,True,0.368723,0.323830,Leather_134|Leather_133|Leather_137,Leather_134|Leather_135|Leather_38,my_dataset_test_filtered\Leather_134\1750490827975.jpg
Leather_135,both_correct,Leather_135,Leather_135,True,True,0.562179,0.340780,Leather_135|Leather_127|Leather_125,Leather_135|Leather_134|Leather_127,my_dataset_test_filtered\Leather_135\1750490955532.jpg
